generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,29.480000,12.200000,0.262295,0.138155,0.426420
500,39.560000,12.940000,0.142195,0.117873,0.484602
1000,46.520000,12.860000,0.083981,0.106892,0.494187
1500,41.700000,12.880000,0.052795,0.109311,0.506382
2000,39.780000,12.420000,0.019324,0.106564,0.490524
2500,42.340000,11.920000,0.006711,0.111334,0.482947
3000,42.300000,12.920000,0.000000,0.090592,0.530022
3500,43.420000,12.420000,0.000000,0.098935,0.510249
4000,36.740000,12.400000,0.000000,0.098191,0.504606
4500,44.820000,12.040000,0.000000,0.108952,0.495035
5000,38.860000,12.260000,0.000000,0.103964,0.500307
