generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.100000,11.960000,0.277592,0.141711,0.422693
500,35.040000,13.160000,0.145897,0.115147,0.503283
1000,38.580000,12.960000,0.089506,0.109967,0.508994
1500,40.640000,13.240000,0.060423,0.101036,0.529434
2000,42.540000,12.920000,0.043344,0.088848,0.526476
2500,37.880000,12.560000,0.031847,0.107947,0.504036
3000,43.720000,12.380000,0.025848,0.106613,0.489223
3500,44.040000,11.860000,0.016863,0.103293,0.476729
4000,39.340000,11.980000,0.010017,0.103766,0.480277
4500,36.300000,12.920000,0.006192,0.103562,0.521933
5000,42.420000,12.620000,0.003170,0.103866,0.522167
