generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,41.880000,11.700000,0.225641,0.143834,0.423690
500,38.460000,12.520000,0.127796,0.123280,0.477817
1000,41.940000,12.520000,0.089457,0.113107,0.480870
1500,40.220000,12.980000,0.052388,0.102172,0.506511
2000,39.100000,12.340000,0.038898,0.102221,0.486808
2500,44.880000,11.480000,0.024390,0.112910,0.473043
3000,37.400000,11.920000,0.020134,0.096823,0.478375
3500,43.760000,12.620000,0.015848,0.086014,0.519130
4000,36.700000,12.040000,0.006645,0.106554,0.493294
4500,41.640000,12.240000,0.003268,0.099622,0.493754
5000,36.280000,12.620000,0.000000,0.092195,0.513819
